N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000019,0.000000,0.000000,0.000016,
8,0.000058,0.000001,0.000000,0.000046,
10,0.000025,0.000001,0.000000,0.000017,
12,0.000013,0.000001,0.000000,0.000008,
16,0.000025,0.000005,0.000000,0.000012,
20,0.000015,0.000001,0.000000,0.000010,
24,0.000020,0.000001,0.000000,0.000011,
32,0.000023,0.000001,0.000000,0.000018,
40,0.000024,0.000002,0.000000,0.000018,
48,0.000029,0.000002,0.000000,0.000018,
64,0.000027,0.000002,0.000000,0.000020,
80,0.000030,0.000003,0.000000,0.000023,
96,0.000027,0.000003,0.000000,0.000020,
128,0.000047,0.000004,0.000000,0.000038,
160,0.000048,0.000005,0.000001,0.000033,
192,0.000052,0.000006,0.000001,0.000041,
256,0.000061,0.000012,0.000001,0.000043,
320,0.000072,0.000009,0.000002,0.000055,
384,0.000098,0.000011,0.000003,0.000079,
512,0.000113,0.000015,0.000004,0.000088,
640,0.000187,0.000027,0.000009,0.000124,
768,0.000158,0.000022,0.000009,0.000118,
1024,0.000228,0.000032,0.000018,0.000166,
1280,0.000298,0.000038,0.000027,0.000193,
1536,0.000333,0.000045,0.000032,0.000219,
2048,0.000477,0.000072,0.000067,0.000300,
2560,0.000581,0.000074,0.000096,0.000372,
3072,0.000704,0.000088,0.000132,0.000441,
4096,0.001008,0.000118,0.000239,0.000602,
5120,0.001315,0.000145,0.000374,0.000744,
6144,0.001687,0.000177,0.000540,0.000912,
8192,0.002493,0.000235,0.000953,0.001241,
10240,0.003376,0.000290,0.001489,0.001520,
12288,0.004463,0.000362,0.002133,0.001870,
16384,0.006966,0.000473,0.003827,0.002557,
20480,0.009891,0.000583,0.005902,0.003190,
24576,0.013331,0.000710,0.008603,0.003798,
32768,0.021692,0.000960,0.015218,0.005227,
40960,0.031884,0.001186,0.023812,0.006599,
49152,0.044028,0.001452,0.034247,0.008004,
65536,0.074067,0.001894,0.061021,0.010730,
81920,0.112111,0.002394,0.095022,0.014231,
98304,0.157818,0.002910,0.136946,0.017415,
131072,0.271994,0.003811,0.243804,0.023704,
163840,0.417458,0.004824,0.381019,0.030794,
