N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000015,0.000001,0,0.000009
8,0.000041,0.000001,0,0.000028
10,0.000014,0.000001,0,0.000009
12,0.000024,0.000001,0,0.000018
16,0.000024,0.000001,0,0.000017
20,0.000017,0.000001,0,0.00001
24,0.000017,0.000001,0,0.00001
32,0.000025,0.000001,0,0.000018
40,0.000019,0.000002,0,0.000012
48,0.000025,0.000002,0,0.000017
64,0.000041,0.000006,0,0.000024
80,0.000027,0.000003,0,0.000017
96,0.000035,0.000003,0,0.00002
128,0.000048,0.000004,0.000001,0.000037
160,0.000042,0.000005,0,0.000026
192,0.00005,0.000009,0,0.000033
256,0.000062,0.000012,0.000001,0.000038
320,0.000087,0.000009,0.000001,0.000068
384,0.000083,0.000015,0.000001,0.000058
512,0.000099,0.000019,0.000002,0.000066
640,0.000143,0.000019,0.000003,0.000112
768,0.000137,0.000023,0.000003,0.000098
1024,0.000203,0.000038,0.000006,0.000141
1280,0.000213,0.000039,0.000011,0.000148
1536,0.00025,0.000047,0.000013,0.000174
2048,0.0004,0.000063,0.00002,0.000246
2560,0.000485,0.000072,0.000028,0.000308
3072,0.000528,0.000087,0.000039,0.000339
4096,0.000737,0.000118,0.000079,0.000462
5120,0.000921,0.000146,0.000127,0.00057
6144,0.001182,0.000175,0.000184,0.000685
8192,0.001599,0.000237,0.000334,0.000939
10240,0.002097,0.000293,0.000522,0.001173
12288,0.002634,0.00035,0.000761,0.001406
16384,0.003981,0.000471,0.001354,0.001961
20480,0.005276,0.000587,0.002108,0.002423
24576,0.00688,0.000712,0.003086,0.002902
32768,0.010951,0.000941,0.005407,0.004167
40960,0.015182,0.00117,0.008448,0.005193
49152,0.020281,0.001409,0.012113,0.006351
65536,0.033055,0.001882,0.021528,0.009105
81920,0.048375,0.002363,0.033672,0.011746
98304,0.066867,0.002918,0.048572,0.01475
131072,0.112581,0.003772,0.086094,0.021948
163840,0.170251,0.004698,0.135117,0.029531
