N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.00001,0.000001,0.000001,0.000004
8,0.000032,0.000002,0.000001,0.000016
10,0.000011,0.000001,0.000001,0.000004
12,0.000009,0.000001,0.000001,0.000003
16,0.00001,0.000002,0.000001,0.000003
20,0.000013,0.000002,0.000002,0.000005
24,0.000015,0.000001,0.000002,0.000005
32,0.000014,0.000001,0.000003,0.000005
40,0.000015,0.000002,0.000002,0.000006
48,0.000014,0.000003,0.000003,0.000003
64,0.000017,0.000002,0.000004,0.000006
80,0.00002,0.000002,0.000006,0.000007
96,0.000023,0.000002,0.000008,0.000007
128,0.000027,0.000003,0.000012,0.000008
160,0.000055,0.000005,0.000019,0.000013
192,0.000042,0.000004,0.000022,0.00001
256,0.000068,0.000005,0.000035,0.00002
320,0.000119,0.000006,0.000063,0.000043
384,0.000131,0.000008,0.000082,0.000035
512,0.000214,0.000011,0.000147,0.00005
640,0.000288,0.000012,0.000215,0.000053
768,0.000381,0.000016,0.000322,0.000035
1024,0.000742,0.000018,0.000551,0.00016
1280,0.00115,0.000023,0.000987,0.000068
1536,0.001592,0.000027,0.001444,0.000109
2048,0.002685,0.000039,0.002523,0.000092
2560,0.00469,0.000065,0.004137,0.000471
3072,0.006891,0.000052,0.00563,0.001183
4096,0.010871,0.000079,0.01052,0.000247
5120,0.015807,0.000097,0.015053,0.000627
6144,0.021191,0.000168,0.020205,0.000791
8192,0.037833,0.000156,0.035922,0.001718
10240,0.065934,0.000192,0.062443,0.003263
12288,0.084694,0.000202,0.084099,0.000357
16384,0.150811,0.000277,0.149866,0.000609
20480,0.232101,0.000351,0.230953,0.000724
24576,0.357066,0.000449,0.35511,0.001439
32768,0.609494,0.000602,0.607084,0.001639
40960,0.961047,0.000724,0.957414,0.002799
49152,1.345835,0.000801,1.342984,0.001906
65536,2.422105,0.001092,2.393597,0.027218
81920,3.755142,0.001474,3.720999,0.032369
98304,5.305808,0.001741,5.279615,0.024153
131072,9.533962,0.002468,9.4202,0.110821
163840,14.788721,0.003015,14.777606,0.00759
