N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000013,0.000001,0.000001,0.000005,
8,0.000047,0.000002,0.000001,0.000031,
10,0.000014,0.000001,0.000002,0.000004,
12,0.000021,0.000001,0.000002,0.000006,
16,0.000013,0.000002,0.000002,0.000006,
20,0.000026,0.000002,0.000001,0.000016,
24,0.000018,0.000001,0.000001,0.000010,
32,0.000015,0.000002,0.000002,0.000006,
40,0.000021,0.000002,0.000002,0.000012,
48,0.000027,0.000005,0.000002,0.000014,
64,0.000018,0.000002,0.000002,0.000008,
80,0.000020,0.000003,0.000002,0.000009,
96,0.000051,0.000003,0.000004,0.000034,
128,0.000030,0.000005,0.000005,0.000011,
160,0.000076,0.000004,0.000006,0.000060,
192,0.000035,0.000005,0.000008,0.000016,
256,0.000065,0.000005,0.000013,0.000023,
320,0.000175,0.000009,0.000030,0.000057,
384,0.000102,0.000009,0.000032,0.000029,
512,0.000344,0.000010,0.000113,0.000203,
640,0.000232,0.000012,0.000096,0.000094,
768,0.000179,0.000014,0.000102,0.000053,
1024,0.000293,0.000019,0.000173,0.000078,
1280,0.000395,0.000022,0.000259,0.000101,
1536,0.000563,0.000026,0.000409,0.000116,
2048,0.000866,0.000035,0.000638,0.000180,
2560,0.001345,0.000045,0.001012,0.000270,
3072,0.001986,0.000048,0.001494,0.000426,
4096,0.003802,0.000070,0.002644,0.001047,
5120,0.004953,0.000084,0.003797,0.001038,
6144,0.006884,0.000098,0.005619,0.001141,
8192,0.011886,0.000142,0.010659,0.001043,
10240,0.017557,0.000157,0.016068,0.001291,
12288,0.024646,0.000215,0.023788,0.000594,
16384,0.053717,0.000286,0.040451,0.012912,
20480,0.065817,0.000340,0.060572,0.004830,
24576,0.090872,0.000375,0.085221,0.005195,
32768,0.165765,0.000561,0.153381,0.011724,
40960,0.264978,0.000685,0.252053,0.012113,
49152,0.371073,0.000747,0.360210,0.009966,
65536,0.735499,0.001009,0.730526,0.003782,
81920,1.000057,0.001341,0.979369,0.019147,
98304,1.447841,0.001552,1.422796,0.023147,
131072,2.536416,0.002138,2.505002,0.028907,
163840,3.848708,0.003020,3.820602,0.023940,
