N, Program Time, Init Data Time, Gnome Sort Time, Combine Sort Time
6,0.000714,0.000002,0.000001,0.000637
8,0.000754,0.000005,0.000001,0.000642
10,0.000704,0.000002,0.000001,0.000627
12,0.000688,0.000002,0.000001,0.000615
16,0.000714,0.000003,0.000001,0.000638
20,0.000717,0.000003,0.000001,0.000641
24,0.000722,0.000004,0.000001,0.000641
32,0.000743,0.000005,0.000001,0.000653
40,0.000747,0.000006,0.000001,0.000655
48,0.000754,0.000006,0.000002,0.000661
64,0.000763,0.000008,0.000003,0.000667
80,0.000776,0.00001,0.000005,0.000678
96,0.000791,0.000011,0.000006,0.00069
128,0.000812,0.000015,0.000012,0.0007
160,0.000834,0.000019,0.000017,0.000712
192,0.000854,0.000022,0.000024,0.000721
256,0.000962,0.000029,0.000041,0.000803
320,0.001025,0.000036,0.000064,0.000835
384,0.001095,0.000043,0.000091,0.000867
512,0.001307,0.000057,0.000169,0.00096
640,0.001562,0.00007,0.000248,0.001119
768,0.001875,0.000084,0.000363,0.001302
1024,0.002614,0.000113,0.000638,0.001727
1280,0.003532,0.000141,0.001,0.002248
1536,0.004609,0.000167,0.001413,0.002879
2048,0.007193,0.000223,0.002527,0.004278
2560,0.010512,0.000278,0.003919,0.006104
3072,0.014351,0.000334,0.005705,0.00809
4096,0.023885,0.000445,0.010128,0.013064
5120,0.036087,0.000555,0.015811,0.01943
6144,0.050928,0.000666,0.022817,0.027086
8192,0.088386,0.000887,0.04037,0.04669
10240,0.134943,0.001107,0.063311,0.069957
12288,0.192405,0.001329,0.090948,0.099465
16384,0.337459,0.001772,0.161257,0.173585
20480,0.525149,0.002215,0.252822,0.269125
24576,0.752221,0.002659,0.363663,0.384751
32768,1.325123,0.003542,0.645717,0.674458
40960,2.063128,0.004431,1.010711,1.046301
