Kernel Time 1024 (us), Transfer Time 1024 (us), Kernel Time 2048 (us), Transfer Time 2048 (us), Kernel Time 4096 (us), Transfer Time 4096 (us), Kernel Time 8096 (us), Transfer Time 8096 (us), Kernel Time 16384 (us), Transfer Time 16384 (us), Kernel Time 32768 (us), Transfer Time 32768 (us), Kernel Time 65536 (us), Transfer Time 65536 (us), Kernel Time 131072 (us), Transfer Time 131072 (us), Kernel Time 262144 (us), Transfer Time 262144 (us), Kernel Time 524288 (us), Transfer Time 524288 (us), Kernel Time 1048576 (us), Transfer Time 1048576 (us), Kernel Time 2097152 (us), Transfer Time 2097152 (us), Kernel Time 4194304 (us), Transfer Time 4194304 (us), Kernel Time 8388608 (us), Transfer Time 8388608 (us), 
13, 70,10, 5,7, 4,7, 12,7, 4,30, 4,5, 3,5, 2,6, 2,6, 2,5, 2,5, 3,7, 2,8, 3,
7, 5,6, 6,5, 2,5, 2,5, 2,6, 2,5, 2,5, 2,6, 2,5, 2,5, 2,6, 2,5, 2,5, 2,
6, 7,17, 3,6, 3,6, 3,6, 3,6, 3,6, 3,6, 3,6, 3,6, 3,6, 3,6, 3,33, 4,6, 2,
13, 6,6, 3,6, 3,6, 3,6, 3,6, 4,6, 3,7, 2,6, 1,5, 2,6, 1,5, 2,6, 1,5, 2,
8, 5,6, 2,6, 2,8, 3,5, 3,6, 2,6, 3,6, 3,6, 3,6, 3,6, 3,6, 6,6, 2,6, 2,
6, 5,6, 2,5, 2,6, 2,6, 4,5, 3,6, 4,5, 3,7, 2,6, 2,5, 2,5, 2,5, 2,6, 2,
10, 5,5, 3,5, 2,6, 2,5, 2,5, 2,6, 2,5, 2,6, 2,5, 2,5, 2,5, 2,5, 2,6, 2,
6, 4,6, 1,5, 2,5, 2,5, 2,7, 3,8, 2,5, 2,6, 2,5, 2,5, 2,6, 2,5, 2,6, 2,
16, 6,6, 3,6, 3,7, 2,6, 2,9, 2,5, 2,5, 2,5, 2,6, 2,5, 2,5, 2,6, 2,5, 2,
8, 5,6, 3,5, 3,7, 2,27, 3,6, 2,6, 2,40, 4,6, 3,5, 3,6, 3,6, 2,6, 2,6, 2,
6, 4,5, 2,5, 2,5, 3,5, 2,5, 2,5, 2,5, 2,6, 1,5, 2,5, 2,6, 2,5, 2,6, 2,
6, 4,6, 2,5, 2,5, 2,5, 2,5, 2,5, 2,5, 2,5, 2,5, 2,6, 1,6, 2,5, 2,6, 2,
10, 5,5, 2,6, 2,5, 2,5, 2,5, 2,6, 2,5, 2,6, 2,5, 2,6, 2,5, 2,5, 2,6, 2,
6, 4,6, 2,5, 2,6, 2,5, 2,6, 1,5, 2,5, 2,6, 1,5, 2,5, 2,6, 1,5, 2,6, 2,
6, 4,6, 2,5, 2,6, 2,5, 2,6, 1,5, 2,6, 2,5, 2,6, 1,5, 2,5, 2,6, 2,5, 6,
5, 4,5, 2,5, 2,5, 2,6, 2,5, 2,6, 2,5, 2,5, 2,5, 2,6, 2,5, 2,6, 2,5, 2,
8, 4,5, 2,5, 2,6, 2,5, 2,5, 2,5, 2,6, 2,5, 2,5, 2,6, 2,5, 2,5, 2,6, 2,
8, 5,8, 4,6, 3,6, 2,6, 2,5, 3,6, 3,6, 3,6, 3,6, 3,7, 2,5, 2,6, 2,5, 2,
